!SIL 1.0	sil
<UNK> 1.0	spn
चमत्कारिक 1.0	c a m a t k aa r i k
पसीना 1.0	p a s ii n aa
वफ़ादारी 1.0	w a f aa d aa r ii
प्रणयरत 1.0	p r nx a y r a t
अलियार 1.0	a l i y aa r
एचएएस 1.0	ee c a ee ee s
कनिमोई 1.0	k a n i m oo ii
मुंबा 1.0	m u q b aa
नृत्यशैली 1.0	n rq t y a sh ei l ii
रिपोट 1.0	r i p oo tx
व 1.0	w a
एंबी 1.0	ee q b ii
तरीके 1.0	t a r ii k ee
चिल्लाते 1.0	c i l l aa t ee
खोलना 1.0	kh oo l n aa
खींचातानी 1.0	kh ii q c aa t aa n ii
विश्वगीता 1.0	w i sh w a g ii t aa
ऐं 1.0	ei q
इसिन्बाएवा 1.0	i s i n b aa ee w aa
लामू 1.0	l aa m uu
वेश्यावृत्ति 1.0	w ee sh y aa w rq t t i
तीतर 1.0	t ii t a r
अनिषेक 1.0	a n i sx ee k
कायरता 1.0	k aa y a r t aa
सलहेस 1.0	s a l h ee s
नागराज 1.0	n aa g r aa j
हनुमन्ती 1.0	h a n u m a n t ii
रचेल 1.0	r a c ee l
दुष्प्रभावों 1.0	d u sx p r a bh aa w oo q
पजेसिव 1.0	p a j ee s i w
कमलकार 1.0	k a m a l k aa r
अरनियां 1.0	a r n i y aa q
कहाः 1.0	k a h aa hq
घड़ियाल 1.0	gh a dxq i y aa l
सीएनजी 1.0	s ii ee n j ii
दस्तानों 1.0	d a s t aa n oo q
गाने 1.0	g aa n ee
बिजेंद्र 1.0	b i j ee q d r
जोकर 1.0	j oo k a r
लाइट्स 1.0	l aa i tx s
अवसरों 1.0	a w a s r oo q
हैदरी 1.0	h ei d r ii
युवाओंने 1.0	y u w aa oo q n ee
कामवासना 1.0	k aa m w aa s n aa
गन्धक 1.0	g a n dh a k
सुधर्मस्वामी 1.0	s u dh a r m a s w aa m ii
मालसिंह 1.0	m aa l s i q h
कामगर 1.0	k aa m g a r
विस्तार 1.0	w i s t aa r
मोमजामा 1.0	m oo m j aa m aa
आर्कियाई 1.0	aa r k i y aa ii
माताजी 1.0	m aa t aa j ii
पिरिक 1.0	p i r i k
एक्सयूवी 1.0	ee k s a y uu w ii
महागौरी 1.0	m a h aa g ou r ii
कोश्यारी 1.0	k oo sh y aa r ii
फ़ैलाई 1.0	f ei l aa ii
पीएमओ 1.0	p ii ee m a oo
डिब्बी 1.0	dx i b b ii
उच्चाधिकारी 1.0	u c c aa dh i k aa r ii
प्रणालियाँ 1.0	p r nx aa l i y aa mq
बैंडस्टैंड 1.0	b ei q dx a s tx ei q dx
माइक्रोएन्वायरमेंट 1.0	m aa i k r oo ee n w aa y a r m ee q tx
आई 1.0	aa ii
कक्षा 1.0	k a k sx aa
साइटोमेगालोवायरस 1.0	s aa i tx oo m ee g aa l oo w aa y r a s
न्यूमतम 1.0	n y uu m t a m
बंडलों 1.0	b a q dx a l oo q
तमाशाई 1.0	t a m aa sh aa ii
मऊगंज 1.0	m a uu g a q j
सिस्टीन 1.0	s i s tx ii n
एआईयूडीएफ 1.0	ee aa ii y uu dx ii ee ph
परिशोधन 1.0	p a r i sh oo dh a n
चोकर 1.0	c oo k a r
उसूलों 1.0	u s uu l oo q
भावभीनी 1.0	bh aa w bh ii n ii
ओवैसी 1.0	oo w ei s ii
स्प्रेयर 1.0	s p r ee y a r
पुष्टाहार 1.0	p u sx tx aa h aa r
थापा 1.0	th aa p aa
वॉरड्रोब 1.0	w ax r a dx r oo b
मुश्फिकुर 1.0	m u sh ph i k u r
लिखनापढ़नायाद 1.0	l i kh n aa p a dxhq n aa y aa d
सल्फोनामाइड 1.0	s a l ph oo n aa m aa i dx
जामवाल 1.0	j aa m w aa l
पटकनी 1.0	p a tx k a n ii
बॉक्साइट 1.0	b ax k s aa i tx
सुनाता 1.0	s u n aa t aa
गौवध 1.0	g ou w a dh
अनुषंगी 1.0	a n u sx a q g ii
एमएमए 1.0	ee m a ee m a ee
जनसभाएं 1.0	j a n a s bh aa ee q
यूनीवर्सिटी 1.0	y uu n ii w a r s i tx ii
धर्मवीर 1.0	dh a r m a w ii r
इफैक्ट 1.0	i ph ei k tx
कन्यापक्ष 1.0	k a n y aa p a k sx
सप्लीमेंट 1.0	s a p l ii m ee q tx
दीपंकर 1.0	d ii p a q k a r
चुकाए 1.0	c u k aa ee
जोगा 1.0	j oo g aa
जम 1.0	j a m
नॉवल 1.0	n ax w a l
गृहकांड 1.0	g rq h k aa q dx
एनएए 1.0	ee n a ee ee
मोरुंग 1.0	m oo r u q g
सजेगी 1.0	s a j ee g ii
रामानन्द 1.0	r aa m aa n a n d
नोट 1.0	n oo tx
बीर 1.0	b ii r
आवर्तसारणी 1.0	aa w a r t a s aa r nx ii
मेसेजिंग 1.0	m ee s ee j i q g
एमबीपी 1.0	ee m b ii p ii
बाजीगर 1.0	b aa j ii g a r
ठगती 1.0	txh a g t ii
पंक्तियां 1.0	p a q k t i y aa q
अरबाज़ 1.0	a r b aa z
धीरूभाई 1.0	dh ii r uu bh aa ii
नवनीत 1.0	n a w n ii t
डोहेला 1.0	dx oo h ee l aa
प्रामाणिक 1.0	p r aa m aa nx i k
बायलर 1.0	b aa y l a r
आप्फन्रे 1.0	aa p ph a n r ee
अकालियों 1.0	a k aa l i y oo q
डायामीटर 1.0	dx aa y aa m ii tx a r
माओवादियों 1.0	m aa oo w aa d i y oo q
तोलस्तोय 1.0	t oo l a s t oo y
अंडोराण 1.0	a q dx oo r aa nx
सुकून 1.0	s u k uu n
क्रीड़ाक्षेत्र 1.0	k r ii dxq aa k sx ee t r
भाषाविद् 1.0	bh aa sx aa w i d
परिसम्पत्तियों 1.0	p a r i s a m p a t t i y oo q
गाता 1.0	g aa t aa
धूमिल 1.0	dh uu m i l
ो 1.0	oo
वॉनटनसर्वसामान्य 1.0	w ax n tx a n s a r w a s aa m aa n y
उत्पत्तियाँ 1.0	u t p a t t i y aa mq
भीलवाड़ा 1.0	bh ii l w aa dxq aa
थक 1.0	th a k
पूर्तिकर 1.0	p uu r t i k a r
धंजू 1.0	dh a q j uu
ऐण्डरसन 1.0	ei nx dx a r a s a n
अंदाज़ा 1.0	a q d aa z aa
नुक्ते 1.0	n u k t ee
यूलर 1.0	y uu l a r
मारना 1.0	m aa r n aa
ऊँचाई 1.0	uu mq c aa ii
अंडग्रंथि 1.0	a q dx a g r a q th i
वार्ड्स 1.0	w aa r dx s
शून्यवादी 1.0	sh uu n y a w aa d ii
स्वारोवस्की 1.0	s w aa r oo w a s k ii
लेटेक्स 1.0	l ee tx ee k s
निष्कर्ष 1.0	n i sx k a r sx
देओली 1.0	d ee oo l ii
एचआई 1.0	ee c a aa ii
लिब्बी 1.0	l i b b ii
ओवरकोट 1.0	oo w a r k oo tx
नौच 1.0	n ou c
बख़्तियारपुर 1.0	b a khq t i y aa r p u r
शिफ्ट 1.0	sh i ph tx
ओजस् 1.0	oo j a s
मंत्रीजी 1.0	m a q t r ii j ii
यस 1.0	y a s
स्नातकोत्तर 1.0	s n aa t k oo t t a r
ठाकुरद्वारा 1.0	txh aa k u r a d w aa r aa
चव्हाण 1.0	c a w h aa nx
अमीरों 1.0	a m ii r oo q
मोखरा 1.0	m oo kh r aa
आजमाते 1.0	aa j m aa t ee
कृष्णमंडल 1.0	k rq sx nx a m a q dx a l
तहबाजारियों 1.0	t a h b aa j aa r i y oo q
विरिधियों 1.0	w i r i dh i y oo q
बारे 1.0	b aa r ee
बेरद्दा 1.0	b ee r a d d aa
मैनेज 1.0	m ei n ee j
कृति 1.0	k rq t i
खरीदता 1.0	kh a r ii d t aa
बाभनडीह 1.0	b aa bh a n dx ii h
फिरोजपुर 1.0	ph i r oo j p u r
ऐन्टिसेप्टिक 1.0	ei n tx i s ee p tx i k
अंजलिमुद्रा 1.0	a q j a l i m u d r aa
मूलभूत 1.0	m uu l bh uu t
विद्युद्विभव 1.0	w i d y u d w i bh a w
फिल्पकार्ट 1.0	ph i l p a k aa r tx
नामादि 1.0	n aa m aa d i
तूने 1.0	t uu n ee
रंगशाला 1.0	r a q g a sh aa l aa
फाड़ने 1.0	ph aa dxq n ee
कराेड़ाें 1.0	k a r aa ee dxq aa ee q
पीठासीन 1.0	p ii txh aa s ii n
प्रगटावा 1.0	p r g a tx aa w aa
डॉरमेट्री 1.0	dx ax r m ee tx r ii
ज़्यादा 1.0	j nk y aa d aa
मदालसाचम्पू 1.0	m a d aa l s aa c a m p uu
स्ट्रैटिजिक 1.0	s tx r ei tx i j i k
रेडियो 1.0	r ee dx i y oo
जीवनचरित 1.0	j ii w a n c a r i t
जननांगों 1.0	j a n n aa q g oo q
ताले 1.0	t aa l ee
स्टॉल्स 1.0	s tx ax l s
भोलारी 1.0	bh oo l aa r ii
टर्नर 1.0	tx a r n a r
घ 1.0	gh a
सजातीय 1.0	s a j aa t ii y
प्रक्रियापद्धति 1.0	p r a k r i y aa p a d dh a t i
गुरुत्व 1.0	g u r u t w
पीत 1.0	p ii t
आधे 1.0	aa dh ee
मालाबार 1.0	m aa l aa b aa r
ओज़ोन 1.0	oo z oo n
ओरियेंट 1.0	oo r i y ee q tx
नवीं 1.0	n a w ii q
तबतक 1.0	t a b t a k
फाॅएर्सटर 1.0	ph aa ae ee r s a tx a r
सोनप्रयाग 1.0	s oo n a p r a y aa g
तिहत्तर 1.0	t i h a t t a r
कोशीकाए 1.0	k oo sh ii k aa ee
एक्टिव 1.0	ee k tx i w
भड़काने 1.0	bh a dxq k aa n ee
पुछताछ 1.0	p u ch t aa ch
मायस्मार्टप्राइस 1.0	m aa y a s m aa r tx a p r aa i s
शिवपूजा 1.0	sh i w p uu j aa
भूपर्पटी 1.0	bh uu p a r p a tx ii
स्लेटन 1.0	s l ee tx a n
ऐंठा 1.0	ei q txh aa
प्रयोक्ताओं 1.0	p r y oo k t aa oo q
तर्कालंकार 1.0	t a r k aa l a q k aa r
लेलोर 1.0	l ee l oo r
स्कोर्पिओ 1.0	s k oo r p i oo
पुंजानी 1.0	p u q j aa n ii
नंदिता 1.0	n a q d i t aa
केनियमों 1.0	k ee n i y m oo q
डीएमसीएच 1.0	dx ii ee m s ii ee c
झुरमुटों 1.0	jh u r m u tx oo q
अलाइंस 1.0	a l aa i q s
गोविल 1.0	g oo w i l
लैस 1.0	l ei s
फर्टवांगेन 1.0	ph a r tx a w aa q g ee n
मुवक्किल 1.0	m u w a k k i l
पांचवे 1.0	p aa q c a w ee
जनक 1.0	j a n a k
झीलो 1.0	jh ii l oo
प्रक्रम 1.0	p r a k r a m
व्यंग्यकारों 1.0	w y a q g y a k aa r oo q
शोक 1.0	sh oo k
गलवान 1.0	g a l w aa n
कलमें 1.0	k a l m ee q
धँसा 1.0	dh a mq s aa
तिगुना 1.0	t i g u n aa
जलजनित 1.0	j a l j a n i t
यूएपीए 1.0	y uu ee p ii ee
सभरवाल 1.0	s a bh r a w aa l
बेसबॉल 1.0	b ee s b ax l
उड़ानों 1.0	u dxq aa n oo q
निर्माताअों 1.0	n i r m aa t aa a oo q
पात्र 1.0	p aa t r
कम्पोस्ट 1.0	k a m p oo s tx
व्यवसाय 1.0	w y w a s aa y
क़द 1.0	kq a d
रामिक 1.0	r aa m i k
तिलहन 1.0	t i l h a n
उपस्थिती 1.0	u p a s th i t ii
कांकर 1.0	k aa q k a r
फील्डिंग 1.0	ph ii l dx i q g
थण्डी 1.0	th a nx dx ii
धर्मशास्त्रीय 1.0	dh a r m a sh aa s t r ii y
शारजाह 1.0	sh aa r j aa h
डिमोनेटाइजेशन 1.0	dx i m oo n ee tx aa i j ee sh a n
निभाएँगे 1.0	n i bh aa ee mq g ee
एंटीबॉडी 1.0	ee q tx ii b ax dx ii
समतावादी 1.0	s a m t aa w aa d ii
परिवर्तित 1.0	p a r i w a r t i t
गईर्ं 1.0	g a ii r q
सुपरस्टार्स 1.0	s u p r a s tx aa r s
गेमकिंग 1.0	g ee m k i q g
मरबा 1.0	m a r b aa
